route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
L,B20130803WKD,B20130803WKD_000700_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_005400_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_001900_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_006600_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_003100_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_007800_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_004350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_009250_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_006350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_011250_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_008350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_013250_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_010350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_015250_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_012350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_017250_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_014350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_019250_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_016350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_021250_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_018350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_023250_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_020350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_025250_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_022350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_027250_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_024350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_029500_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_026350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_031650_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_028350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_033200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_030000_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_034400_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_031000_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_035400_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_031850_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_036200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_032350_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_036800_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_033100_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_037400_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_033550_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_038000_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_034250_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_038600_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_034700_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_039200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_035400_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_039800_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_035850_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_040400_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_036600_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_041000_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_037050_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_041600_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_037800_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_042200_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_038250_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_042800_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_039000_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_043400_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_039200_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_043900_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_039900_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_044400_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_040500_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_044800_L..S05R,MYRTLE - WYCKOFF AVS,1,,L..S05R
L,B20130803WKD,B20130803WKD_040600_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_045300_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_041200_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_045700_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_041750_L..N02R,8 AV,0,,L..N02R
L,B20130803WKD,B20130803WKD_046100_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_041800_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_046500_L..S05R,MYRTLE - WYCKOFF AVS,1,,L..S05R
L,B20130803WKD,B20130803WKD_042400_L..N01R,8 AV,0,,L..N01R
L,B20130803WKD,B20130803WKD_046900_L..S01R,CANARSIE - ROCKAWAY PKWY,1,,L..S01R
L,B20130803WKD,B20130803WKD_042950_L..N02R,8 AV,0,,L..N02R
